,Player Name,G,PTS,TRB,AST,FG%,FG3%,FT%,eFG%,PER,WS
0,Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
1,Nate Archibald,876,18.8,2.3,7.4,46.7,22.4,81.0,46.8,18.0,83.4
2,Paul Arizin,713,22.8,8.6,2.3,42.1,0,81.0,0,19.7,108.8
3,Charles Barkley,1073,22.1,11.7,3.9,54.1,26.6,73.5,55.8,24.6,177.2
4,Rick Barry,1020,24.8,6.7,4.9,45.6,29.7,89.3,46.0,21.0,128.9
5,Elgin Baylor,846,27.4,13.5,4.3,43.1,0,78.0,0,22.7,104.2
6,Dave Bing,901,20.3,3.8,6.0,44.1,0,77.5,0,17.6,68.8
7,Larry Bird,897,24.3,10.0,6.3,49.6,37.6,88.6,51.4,23.5,145.8
8,Wilt Chamberlain,1045,30.1,22.9,4.4,54.0,0,51.1,0,26.1,247.3
9,Bob Cousy,924,18.4,5.2,7.5,37.5,0,80.3,0,19.8,91.1
10,Dave Cowens,766,17.6,13.6,3.8,46.0,7.1,78.3,46.0,17.0,86.3
11,Billy Cunningham,770,21.2,10.4,4.3,45.2,26.3,73.0,45.2,20.0,78.6
12,Dave DeBusschere,875,16.1,11.0,2.9,43.2,0,69.9,0,15.5,60.8
13,Clyde Drexler,1086,20.4,6.1,5.6,47.2,31.8,78.8,49.5,21.1,135.6
14,Julius Erving,1243,24.2,8.5,4.2,50.6,29.8,77.7,50.9,23.6,181.1
15,Patrick Ewing,1183,21.0,9.8,1.9,50.4,15.2,74.0,50.5,21.0,126.4
16,Walt Frazier,825,18.9,5.9,6.1,49.0,0.0,78.6,49.0,19.1,113.5
17,George Gervin,1060,25.1,5.3,2.6,50.4,27.1,84.1,50.7,21.4,116.3
18,Hal Greer,1122,19.2,5.0,4.0,45.2,0,80.1,0,15.7,102.7
19,John Havlicek,1270,20.8,6.3,4.8,43.9,0,81.5,0,17.5,131.7
20,Elvin Hayes,1303,21.0,12.5,1.8,45.2,14.7,67.0,45.2,17.7,120.8
21,Magic Johnson,906,19.5,7.2,11.2,52.0,30.3,84.8,53.3,24.1,155.8
22,Sam Jones,871,17.7,4.9,2.5,45.6,0,80.3,0,18.7,92.3
23,Michael Jordan,1072,30.1,6.2,5.3,49.7,32.7,83.5,50.9,27.9,214.0
24,Jerry Lucas,829,17.0,15.6,3.3,49.9,0,78.3,0,18.9,98.4
25,Karl Malone,1476,25.0,10.1,3.6,51.6,27.4,74.2,51.8,23.9,234.6
26,Moses Malone,1455,20.3,12.3,1.3,49.5,9.6,76.0,49.5,22.0,179.1
27,Pete Maravich,658,24.2,4.2,5.4,44.1,66.7,82.0,44.1,18.4,46.7
28,Kevin McHale,971,17.9,7.3,1.7,55.4,26.1,79.8,55.5,20.0,113.0
29,George Mikan,439,23.1,13.4,2.8,40.4,0,78.2,0,27.0,108.7
30,Earl Monroe,926,18.8,3.0,3.9,46.4,-,80.7,46.4,17.2,77.4
31,Hakeem Olajuwon,1238,21.8,11.1,2.5,51.2,20.2,71.2,51.3,23.6,162.8
32,Shaquille O'Neal,1207,23.7,10.9,2.5,58.2,4.5,52.7,58.2,26.4,181.7
33,Robert Parish,1611,14.5,9.1,1.4,53.7,0.0,72.1,53.7,19.2,147.0
34,Bob Pettit,792,26.4,16.2,3.0,43.6,0,76.1,0,25.3,136.0
35,Scottie Pippen,1178,16.1,6.4,5.2,47.3,32.6,70.4,50.4,18.6,125.1
36,Willis Reed,650,18.7,12.9,1.8,47.6,0,74.7,0,18.6,74.9
37,Oscar Robertson,1040,25.7,7.5,9.5,48.5,0,83.8,0,23.2,189.2
38,David Robinson,987,21.1,10.6,2.5,51.8,25.0,73.6,51.9,26.2,178.7
39,Bill Russell,963,15.1,22.5,4.3,44.0,0,56.1,0,18.9,163.5
40,Dolph Schayes,996,18.5,12.1,3.1,38.0,0,84.9,0,22.0,142.4
41,Bill Sharman,711,17.8,3.9,3.0,42.6,0,88.3,0,18.2,82.8
42,John Stockton,1504,13.1,2.7,10.5,51.5,38.4,82.6,54.6,21.8,207.7
43,Isiah Thomas,979,19.2,3.6,9.3,45.2,29.0,75.9,46.5,18.1,80.7
44,Nate Thurmond,964,15.0,15.0,2.7,42.1,0,66.7,0,16.5,78.0
45,Wes Unseld,984,10.8,14.0,3.9,50.9,50.0,63.3,50.9,16.0,110.1
46,Bill Walton,468,13.3,10.5,3.4,52.1,0.0,66.0,52.1,20.0,39.3
47,Jerry West,932,27.0,5.8,6.7,47.4,0,81.4,0,22.9,162.6
48,Lenny Wilkens,1077,16.5,4.7,6.7,43.2,0,77.4,0,16.8,95.5
49,James Worthy,926,17.6,5.1,3.0,52.1,24.1,76.9,52.5,17.7,81.2
