,Player Name,Hall Of Fame,All Star,Scoring Champ,AST Champ,STL Champ,TRB Champ,BLK Champ,NBA Champ,All-NBA,All-Defensive,ABA All-Time Team,All-ABA,All-Defensive,All-Rookie,Most Improved,AS MVP,Def. POY,Finals MVP,MVP,Sixth Man,ROY
0,Kareem Abdul-Jabbar,1,19,2,0,0,1,4,6,15,11,0,0,11,1,0,0,0,2,6,0,1
1,Nate Archibald,1,6,1,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0
2,Paul Arizin,1,10,2,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0
3,Charles Barkley,1,11,0,0,0,1,0,0,11,0,0,0,0,1,0,1,0,0,1,0,0
4,Rick Barry,1,12,1,0,1,0,0,1,6,0,1,4,0,1,0,1,0,1,0,0,1
5,Elgin Baylor,1,11,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1
6,Dave Bing,1,7,1,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1
7,Larry Bird,1,12,0,0,0,0,0,3,10,3,0,0,3,1,0,1,0,2,3,0,1
8,Wilt Chamberlain,1,13,7,1,0,11,0,2,10,2,0,0,2,0,0,1,0,1,4,0,1
9,Bob Cousy,1,13,0,8,0,0,0,6,12,0,0,0,0,0,0,2,0,0,1,0,0
10,Dave Cowens,1,8,0,0,0,0,0,2,3,3,0,0,3,1,0,1,0,0,1,0,1
11,Billy Cunningham,1,5,0,0,0,0,0,1,4,0,1,1,0,1,0,0,0,0,1,0,0
12,Dave DeBusschere,1,8,0,0,0,0,0,2,1,6,0,0,6,1,0,0,0,0,0,0,0
13,Clyde Drexler,1,10,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
14,Julius Erving,1,16,0,0,0,0,0,1,7,1,1,5,1,1,0,2,0,0,4,0,0
15,Patrick Ewing,1,11,0,0,0,0,0,0,7,3,0,0,3,1,0,0,0,0,0,0,1
16,Walt Frazier,1,7,0,0,0,0,0,2,6,7,0,0,7,1,0,1,0,0,0,0,0
17,George Gervin,1,12,4,0,0,0,0,0,7,0,1,2,0,1,0,1,0,0,0,0,0
18,Hal Greer,1,10,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,0
19,John Havlicek,1,13,0,0,0,0,0,8,11,8,0,0,8,1,0,0,0,1,0,0,0
20,Elvin Hayes,1,12,1,0,0,2,0,1,6,2,0,0,2,1,0,0,0,0,0,0,0
21,Magic Johnson,1,12,0,4,2,0,0,5,10,0,0,0,0,1,0,2,0,3,3,0,0
22,Sam Jones,1,5,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0
23,Michael Jordan,1,14,10,0,3,0,0,6,11,9,0,0,9,1,0,3,1,6,5,0,1
24,Jerry Lucas,1,7,0,0,0,0,0,1,5,0,0,0,0,1,0,1,0,0,0,0,1
25,Karl Malone,1,14,0,0,0,0,0,0,14,4,0,0,4,1,0,2,0,0,2,0,0
26,Moses Malone,1,13,0,0,0,6,0,1,8,2,1,0,2,1,0,0,0,1,3,0,0
27,Pete Maravich,1,5,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
28,Kevin McHale,1,7,0,0,0,0,0,3,1,6,0,0,6,1,0,0,0,0,0,2,0
29,George Mikan,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,Earl Monroe,1,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
31,Hakeem Olajuwon,1,12,0,0,0,2,3,2,12,9,0,0,9,1,0,0,2,2,1,0,0
32,Shaquille O'Neal,1,15,2,0,0,0,0,4,14,3,0,0,3,1,0,3,0,3,1,0,1
33,Robert Parish,1,9,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
34,Bob Pettit,1,11,2,0,0,1,0,1,11,0,0,0,0,0,0,4,0,0,2,0,1
35,Scottie Pippen,1,7,0,0,1,0,0,6,7,10,0,0,10,0,0,1,0,0,0,0,0
36,Willis Reed,1,7,0,0,0,0,0,2,5,1,0,0,1,1,0,1,0,2,1,0,1
37,Oscar Robertson,1,12,0,6,0,0,0,1,11,0,0,0,0,0,0,3,0,0,1,0,1
38,David Robinson,1,10,1,0,0,1,1,2,10,8,0,0,8,1,0,0,1,0,1,0,1
39,Bill Russell,1,12,0,0,0,4,0,11,11,1,0,0,1,0,0,1,0,0,5,0,0
40,Dolph Schayes,1,12,0,0,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0
41,Bill Sharman,1,8,0,0,0,0,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0
42,John Stockton,1,10,0,9,2,0,0,0,11,5,0,0,5,0,0,1,0,0,0,0,0
43,Isiah Thomas,1,12,0,1,0,0,0,2,5,0,0,0,0,1,0,2,0,1,0,0,0
44,Nate Thurmond,1,7,0,0,0,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0
45,Wes Unseld,1,5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1
46,Bill Walton,1,2,0,0,0,1,1,2,2,2,0,0,2,0,0,0,0,1,1,1,0
47,Jerry West,1,14,1,1,0,0,0,1,12,5,0,0,5,0,0,1,0,1,0,0,0
48,Lenny Wilkens,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
49,James Worthy,1,7,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0
